,t,v
869,34.79479479,-0.479479479
870,34.83483483,-0.483483483
871,34.87487487,-0.487487487
872,34.91491491,-0.491491491
873,34.95495495,-0.495495495
874,34.99499499,-0.499499499
875,35.03503504,-0.503503504
876,35.07507508,-0.507507508
877,35.11511512,-0.511511512
878,35.15515516,-0.515515516
879,35.1951952,-0.51951952
880,35.23523524,-0.523523524
881,35.27527528,-0.527527528
882,35.31531532,-0.531531532
883,35.35535536,-0.535535536
884,35.3953954,-0.53953954
885,35.43543544,-0.543543544
886,35.47547548,-0.547547548
887,35.51551552,-0.551551552
888,35.55555556,-0.555555556
889,35.5955956,-0.55955956
890,35.63563564,-0.563563564
891,35.67567568,-0.567567568
892,35.71571572,-0.571571572
893,35.75575576,-0.575575576
894,35.7957958,-0.57957958
895,35.83583584,-0.583583584
896,35.87587588,-0.587587588
897,35.91591592,-0.591591592
898,35.95595596,-0.595595596
899,35.995996,-0.5995996
900,36.03603604,-0.603603604
901,36.07607608,-0.607607608
902,36.11611612,-0.611611612
903,36.15615616,-0.615615616
904,36.1961962,-0.61961962
905,36.23623624,-0.623623624
906,36.27627628,-0.627627628
907,36.31631632,-0.631631632
908,36.35635636,-0.635635636
909,36.3963964,-0.63963964
910,36.43643644,-0.643643644
911,36.47647648,-0.647647648
912,36.51651652,-0.651651652
913,36.55655656,-0.655655656
914,36.5965966,-0.65965966
915,36.63663664,-0.663663664
916,36.67667668,-0.667667668
917,36.71671672,-0.671671672
918,36.75675676,-0.675675676
919,36.7967968,-0.67967968
920,36.83683684,-0.683683684
921,36.87687688,-0.687687688
922,36.91691692,-0.691691692
923,36.95695696,-0.695695696
924,36.996997,-0.6996997
925,37.03703704,-0.703703704
926,37.07707708,-0.707707708
927,37.11711712,-0.711711712
928,37.15715716,-0.715715716
929,37.1971972,-0.71971972
930,37.23723724,-0.723723724
931,37.27727728,-0.727727728
932,37.31731732,-0.731731732
933,37.35735736,-0.735735736
934,37.3973974,-0.73973974
935,37.43743744,-0.743743744
936,37.47747748,-0.747747748
937,37.51751752,-0.751751752
938,37.55755756,-0.755755756
939,37.5975976,-0.75975976
940,37.63763764,-0.763763764
941,37.67767768,-0.767767768
942,37.71771772,-0.771771772
943,37.75775776,-0.775775776
944,37.7977978,-0.77977978
945,37.83783784,-0.783783784
946,37.87787788,-0.787787788
947,37.91791792,-0.791791792
948,37.95795796,-0.795795796
949,37.997998,-0.7997998
950,38.03803804,-0.803803804
951,38.07807808,-0.807807808
952,38.11811812,-0.811811812
953,38.15815816,-0.815815816
954,38.1981982,-0.81981982
955,38.23823824,-0.823823824
956,38.27827828,-0.827827828
957,38.31831832,-0.831831832
958,38.35835836,-0.835835836
959,38.3983984,-0.83983984
960,38.43843844,-0.843843844
961,38.47847848,-0.847847848
962,38.51851852,-0.851851852
963,38.55855856,-0.855855856
964,38.5985986,-0.85985986
